City_ID,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,-33.65,115.3333,53.4,72,100,31.56,overcast clouds
1,-54.8,-68.3,35.26,93,100,0.0,light intensity drizzle
2,38.5167,-28.7,75.24,85,99,14.38,light rain
3,19.7297,-155.09,80.33,76,100,6.91,overcast clouds
4,-33.5906,26.891,66.2,54,4,10.6,clear sky
5,7.9986,124.2928,82.2,58,39,0.31,scattered clouds
6,32.6667,-17.1,70.43,81,15,5.7,few clouds
7,42.097,-79.2353,65.84,61,0,6.91,clear sky
8,-40.8135,-62.9967,43.48,79,0,5.61,clear sky
9,-29.6842,-53.8069,56.5,100,100,6.91,mist
10,62.456,-114.3525,70.32,30,20,8.05,few clouds
11,-53.15,-70.9167,33.91,100,20,2.3,few clouds
12,63.7553,121.6247,66.63,45,13,8.19,few clouds
13,37.7167,-25.4333,68.41,77,55,2.75,broken clouds
14,-8.7676,160.7034,86.2,63,15,4.5,few clouds
15,65.5833,-171.0,58.33,55,21,10.76,few clouds
16,22.2855,114.1577,84.38,82,100,10.0,light rain
17,-46.6,168.3333,44.8,74,39,26.33,scattered clouds
18,49.7834,-74.8492,56.98,71,5,4.83,clear sky
19,3.8167,117.25,86.56,64,88,1.92,overcast clouds
20,41.3712,-73.414,78.76,92,0,0.0,clear sky
21,42.6001,-73.9662,75.61,67,0,5.99,clear sky
22,14.298,44.3779,57.36,78,68,1.52,light rain
23,15.9,73.8167,76.39,89,100,2.93,overcast clouds
24,-34.0033,24.7314,57.16,57,6,6.71,clear sky
25,49.5886,81.0453,70.05,63,0,5.55,clear sky
26,44.0582,-121.3153,86.14,40,12,5.01,few clouds
27,-0.7393,-90.3518,70.56,88,24,7.0,few clouds
28,63.7506,-68.5145,42.53,86,75,8.05,broken clouds
29,72.7868,-56.1549,44.51,82,85,2.68,overcast clouds
30,13.0833,109.3,79.38,86,94,5.73,overcast clouds
31,-0.8833,131.25,83.19,71,100,6.85,overcast clouds
32,73.5069,80.5464,43.79,88,100,14.45,overcast clouds
33,50.6789,156.125,56.57,74,14,7.14,few clouds
34,-21.2,-175.2,80.76,89,75,12.66,broken clouds
35,-37.6167,-73.65,46.45,82,4,14.83,clear sky
36,65.6145,-37.6368,42.96,60,26,1.95,scattered clouds
37,-0.9131,122.8766,80.8,73,69,6.55,broken clouds
38,-24.7911,-50.0119,58.08,69,0,3.76,clear sky
39,21.4612,-71.1419,81.95,77,0,17.31,clear sky
40,35.7333,140.8333,99.28,73,100,6.85,overcast clouds
41,37.7333,-25.6667,68.72,83,20,2.3,few clouds
42,-46.1927,168.8643,44.47,81,73,10.27,broken clouds
