City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,81.59,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
4,Damietta,EG,80.49,clear sky,31.4165,31.8133,SULIMAN INN
6,Banda Aceh,ID,78.87,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
7,Nikolskoye,RU,62.49,scattered clouds,59.7035,30.7861,Tourist House - Sablino
10,Barcelos,PT,72.91,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
11,Sao Filipe,CV,77.41,broken clouds,14.8961,-24.4956,Hotel Xaguate
15,Vila Franca Do Campo,PT,73.81,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
18,Kita,ML,75.02,light rain,13.0349,-9.4895,Hôtel Chat Rouge
20,Atuona,PF,77.29,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
21,Kapaa,US,82.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
25,Tahe,CN,67.48,overcast clouds,52.3333,124.7333,塔河宾馆
28,Yellowknife,CA,64.92,broken clouds,62.456,-114.3525,The Explorer Hotel
30,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
33,Bengkulu,ID,74.01,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
34,Tezu,IN,75.52,overcast clouds,27.9167,96.1667,Circuit House
35,Hun,LY,83.7,clear sky,29.1268,15.9477,Alrwasi Hotel
37,Vaini,TO,75.27,scattered clouds,-21.2,-175.2,Keleti Beach Resort
40,Celendin,PE,68.52,broken clouds,-6.8703,-78.1517,Villa Madrid
41,Ankang,CN,74.17,clear sky,32.68,109.0172,安琪酒店
42,Rexburg,US,84.18,clear sky,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
45,Hithadhoo,MV,80.56,overcast clouds,-0.6,73.0833,Scoop Guest House
48,Rikitea,PF,71.74,scattered clouds,-23.1203,-134.9692,People ThankYou
49,Veraval,IN,81.5,overcast clouds,20.9,70.3667,Lords Inn Somnath
50,San-Pedro,CI,74.7,overcast clouds,4.7485,-6.6363,Hotel Maria
52,Hilo,US,84.27,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
53,Chicama,PE,61.34,few clouds,-7.8447,-79.1469,Balihai Bungalows
54,Palimbang,PH,77.31,overcast clouds,6.2106,124.1894,Felmar Beach resort
59,Venice,US,89.98,drizzle,27.0998,-82.4543,A Beach Retreat On Casey Key
60,Honggang,CN,74.26,clear sky,46.4667,124.8667,亚布力滑雪旅游度假区
62,Nelson Bay,AU,64.0,heavy intensity rain,-32.7167,152.15,Mantra Nelson Bay
65,Melilla,ES,80.98,clear sky,35.2937,-2.9383,Hotel Anfora
70,Arraial Do Cabo,BR,71.46,few clouds,-22.9661,-42.0278,Pousada Porto Praia
71,Ahuimanu,US,83.86,clear sky,21.4447,-157.8378,Paradise Bay Resort
72,Katsuura,JP,77.23,heavy intensity rain,35.1333,140.3,Katsuura Hotel Mikazuki
75,Kure,JP,83.12,scattered clouds,34.2333,132.5667,Clayton Bay Hotel
77,Ribeira Grande,PT,76.1,light rain,38.5167,-28.7,Quinta da Meia Eira
78,Astanajapura,ID,77.25,overcast clouds,-6.8017,108.6311,nida nur arofah
80,Caravelas,BR,70.02,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
81,Naze,JP,77.92,broken clouds,28.3667,129.4833,Shishime Hotel
82,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
84,Awjilah,LY,81.0,clear sky,29.1081,21.2869,المنزل
85,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
87,Souillac,MU,68.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
88,Vao,NC,72.12,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
90,Bandarbeyla,SO,75.87,few clouds,9.4942,50.8122,JABIR HOTEL
92,Port Alfred,ZA,60.19,scattered clouds,-33.5906,26.891,The Halyards Hotel
94,Kavaratti,IN,77.5,moderate rain,10.5669,72.642,Green leaf
95,Asau,RO,67.12,clear sky,46.4333,26.4,Casa Mika Ciobanus
96,Fort-Shevchenko,KZ,82.65,broken clouds,44.5086,50.263,Oasis hotel Bautino
98,Luganville,VU,82.29,few clouds,-15.5333,167.1667,The Espiritu Hotel
99,Matara,LK,76.62,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
100,Padang,ID,75.97,overcast clouds,-0.9492,100.3543,Mercure Padang
105,Menongue,AO,60.37,clear sky,-14.6585,17.691,Ritz Lauca
106,Batticaloa,LK,80.13,light rain,7.7102,81.6924,Grand Star Guest House
107,Grants,US,89.83,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
108,Manadhoo,MV,80.44,overcast clouds,5.7667,73.3833,Bon Abri maldives
110,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
112,Tual,ID,79.74,broken clouds,-5.6667,132.75,Grand Vilia Hotel
